year,state,county,county_code,state_code,units_of_measure,AQI,pollutant,arithmetic_mean,Air Quality Index
1979,California,Santa Cruz,87,6,Parts per million,70,Ozone,0.046471,Moderate
1979,California,Shasta,89,6,Parts per million,71,Ozone,0.049107,Moderate
1979,California,Solano,95,6,Parts per million,51,CO,0.708935,Moderate
1979,California,Solano,95,6,Parts per billion,51,NO2,36.7281725,Moderate
1979,California,Solano,95,6,Parts per million,67,Ozone,0.038468,Moderate
1979,California,Solano,95,6,Parts per billion,51,SO2,0.188884,Moderate
1979,California,Sonoma,97,6,Parts per million,51,CO,1.986721,Moderate
1979,California,Sonoma,97,6,Parts per billion,51,NO2,33.892045,Moderate
1979,California,Sonoma,97,6,Parts per million,65,Ozone,0.0352095,Moderate
1979,California,Stanislaus,99,6,Parts per million,51,CO,1.189086,Moderate
1979,California,Stanislaus,99,6,Parts per billion,63,NO2,64.888889,Moderate
1979,California,Stanislaus,99,6,Parts per million,75,Ozone,0.059638,Moderate
1979,California,Stanislaus,99,6,Parts per billion,51,SO2,3.396399,Moderate
1979,California,Sutter,101,6,Parts per million,60,Ozone,0.022,Moderate
1979,California,Tulare,107,6,Parts per million,51,CO,1.28253,Moderate
1979,California,Tulare,107,6,Parts per billion,70,NO2,70.675676,Moderate
1979,California,Tulare,107,6,Parts per million,84,Ozone,0.081844,Moderate
1979,California,Ventura,111,6,Parts per million,51,CO,0.916822,Moderate
1979,California,Ventura,111,6,Parts per billion,61,NO2,62.508711,Moderate
1979,California,Ventura,111,6,Parts per million,77,Ozone,0.06431428571428571,Moderate
1979,California,Ventura,111,6,Parts per billion,51,SO2,3.05838,Moderate
1979,California,Yolo,113,6,Parts per million,51,CO,0.73068,Moderate
1979,California,Yolo,113,6,Parts per million,74,Ozone,0.0556185,Moderate
1980,California,Alameda,1,6,Parts per million,51,CO,1.50648675,Moderate
1980,California,Alameda,1,6,Parts per billion,51,NO2,48.5673185,Moderate
1980,California,Alameda,1,6,Parts per million,65,Ozone,0.0338865,Moderate
1980,California,Butte,7,6,Parts per million,51,CO,0.5565625000000001,Moderate
1980,California,Butte,7,6,Parts per billion,51,NO2,32.264151,Moderate
1980,California,Butte,7,6,Parts per million,67,Ozone,0.039483,Moderate
1980,California,Colusa,11,6,Parts per million,62,Ozone,0.026774,Moderate
1980,California,Contra Costa,13,6,Parts per million,51,CO,1.092843,Moderate
1980,California,Contra Costa,13,6,Parts per billion,51,NO2,40.1764702,Moderate
1980,California,Contra Costa,13,6,Parts per million,66,Ozone,0.03728725,Moderate
1980,California,Contra Costa,13,6,Parts per billion,51,SO2,1.8737139166666668,Moderate
1980,California,El Dorado,17,6,Parts per million,51,CO,2.172797666666667,Moderate
1980,California,El Dorado,17,6,Parts per billion,51,NO2,33.94958,Moderate
1980,California,El Dorado,17,6,Parts per million,71,Ozone,0.049918,Moderate
1980,California,El Dorado,17,6,Parts per billion,51,SO2,0.362557,Moderate
1980,California,Fresno,19,6,Parts per million,51,CO,0.9211608333333332,Moderate
1980,California,Fresno,19,6,Parts per billion,51,NO2,41.546473,Moderate
1980,California,Fresno,19,6,Parts per million,76,Ozone,0.06080214285714286,Moderate
1980,California,Fresno,19,6,Parts per billion,51,SO2,2.684463,Moderate
1980,California,Glenn,21,6,Parts per million,71,Ozone,0.049749,Moderate
1980,California,Imperial,25,6,Parts per million,78,Ozone,0.067109,Moderate
1980,California,Inyo,27,6,Parts per million,70,Ozone,0.046857,Moderate
1980,California,Kern,29,6,Parts per million,51,CO,1.422835,Moderate
1980,California,Kern,29,6,Parts per billion,63,NO2,65.156947,Moderate
1980,California,Kern,29,6,Parts per million,77,Ozone,0.06463,Moderate
1980,California,Kern,29,6,Parts per billion,51,SO2,16.232737333333333,Moderate
1980,California,Kings,31,6,Parts per million,70,Ozone,0.04688,Moderate
1980,California,Lake,33,6,Parts per million,51,CO,0.664689,Moderate
1980,California,Lake,33,6,Parts per billion,51,NO2,17.978723,Moderate
1980,California,Lake,33,6,Parts per million,69,Ozone,0.0437605,Moderate
1980,California,Los Angeles,37,6,Parts per million,51,CO,2.9449217222222224,Moderate
1980,California,Los Angeles,37,6,Parts per billion,91,NO2,91.23606188235294,Moderate
1980,California,Los Angeles,37,6,Parts per million,85,Ozone,0.08551017647058824,Moderate
1980,California,Los Angeles,37,6,Parts per billion,51,SO2,7.437599923076923,Moderate
1980,California,Marin,41,6,Parts per million,51,CO,1.375044,Moderate
1980,California,Marin,41,6,Parts per billion,51,NO2,41.694444,Moderate
1980,California,Marin,41,6,Parts per million,64,Ozone,0.030784,Moderate
1980,California,Mendocino,45,6,Parts per million,65,Ozone,0.0325115,Moderate
1980,California,Mono,51,6,Parts per million,51,CO,1.64521,Moderate
1980,California,Monterey,53,6,Parts per million,51,CO,1.143687,Moderate
1980,California,Monterey,53,6,Parts per billion,51,NO2,28.284709,Moderate
1980,California,Monterey,53,6,Parts per million,68,Ozone,0.04096733333333333,Moderate
1980,California,Monterey,53,6,Parts per billion,51,SO2,0.079348,Moderate
1980,California,Napa,55,6,Parts per million,51,CO,1.425172,Moderate
1980,California,Napa,55,6,Parts per billion,51,NO2,38.554913,Moderate
1980,California,Napa,55,6,Parts per million,66,Ozone,0.037358,Moderate
1980,California,Orange,59,6,Parts per million,51,CO,2.92720125,Moderate
1980,California,Orange,59,6,Parts per billion,73,NO2,74.2261755,Moderate
1980,California,Orange,59,6,Parts per million,77,Ozone,0.06481528571428571,Moderate
1980,California,Orange,59,6,Parts per billion,51,SO2,7.0763388,Moderate
1980,California,Placer,61,6,Parts per million,75,Ozone,0.059671,Moderate
1980,California,Riverside,65,6,Parts per million,51,CO,1.8734656666666667,Moderate
1980,California,Riverside,65,6,Parts per billion,61,NO2,62.9094425,Moderate
1980,California,Riverside,65,6,Parts per million,87,Ozone,0.088549125,Moderate
1980,California,Riverside,65,6,Parts per billion,51,SO2,3.7548486,Moderate
1980,California,Sacramento,67,6,Parts per million,51,CO,1.390547,Moderate
1980,California,Sacramento,67,6,Parts per billion,51,NO2,51.482933,Moderate
1980,California,Sacramento,67,6,Parts per million,70,Ozone,0.04767516666666666,Moderate
1980,California,Sacramento,67,6,Parts per billion,51,SO2,2.36562,Moderate
1980,California,San Benito,69,6,Parts per billion,51,NO2,26.296737,Moderate
1980,California,San Benito,69,6,Parts per million,70,Ozone,0.046651,Moderate
1980,California,San Bernardino,71,6,Parts per million,51,CO,1.6983856666666666,Moderate
1980,California,San Bernardino,71,6,Parts per billion,64,NO2,65.7304642,Moderate
1980,California,San Bernardino,71,6,Parts per million,85,Ozone,0.083988,Moderate
1980,California,San Bernardino,71,6,Parts per billion,51,SO2,3.5770441666666666,Moderate
1980,California,San Diego,73,6,Parts per million,51,CO,1.2442481666666667,Moderate
1980,California,San Diego,73,6,Parts per billion,53,NO2,54.679573,Moderate
1980,California,San Diego,73,6,Parts per million,78,Ozone,0.0672075,Moderate
